Strategy: SHORTEST_QUEUE
Client ID-766 A-11 S-3 was put in queue number 8
Task taken: ID-254 A-11 S-6
Chosen queue 3
Client ID-834 A-11 S-5 was put in queue number 3
Task sleeping: ID-834 A-11 S-5
Task taken: ID-105 A-11 S-9
Chosen queue 2
Task sleeping: ID-995 A-11 S-3
Client ID-995 A-11 S-3 was put in queue number 2
Task taken: ID-283 A-11 S-7

Time: 33
Task taken: ID-766 A-11 S-3
Chosen queue 1
Task sleeping: ID-34 A-12 S-11
Client ID-34 A-12 S-11 was put in queue number 1
Chosen queue 5
Task sleeping: ID-65 A-12 S-4
Client ID-65 A-12 S-4 was put in queue number 5
Task taken: ID-602 A-11 S-6
Task taken: ID-995 A-11 S-3
Chosen queue 6
Task sleeping: ID-125 A-12 S-4
Client ID-125 A-12 S-4 was put in queue number 6
Task taken: ID-834 A-11 S-5
Chosen queue 2
Client ID-267 A-12 S-10 was put in queue number 2
Chosen queue 3
Client ID-315 A-12 S-11 was put in queue number 3
Chosen queue 7
Client ID-411 A-12 S-8 was put in queue number 7
Chosen queue 8
Task sleeping: ID-315 A-12 S-11
Task sleeping: ID-589 A-12 S-5
Task sleeping: ID-267 A-12 S-10
Task sleeping: ID-411 A-12 S-8
Client ID-589 A-12 S-5 was put in queue number 8
Task taken: ID-366 A-11 S-9
Task taken: ID-364 A-11 S-11
Chosen queue 9
Task sleeping: ID-625 A-12 S-5
Client ID-625 A-12 S-5 was put in queue number 9
Chosen queue 0
Client ID-641 A-12 S-5 was put in queue number 0
Task sleeping: ID-641 A-12 S-5
Chosen queue 4
Task taken: ID-65 A-12 S-4
Task sleeping: ID-686 A-12 S-10
Client ID-686 A-12 S-10 was put in queue number 4
Chosen queue 5
Task sleeping: ID-910 A-12 S-11
Client ID-910 A-12 S-11 was put in queue number 5
Task taken: ID-125 A-12 S-4

Time: 41
Chosen queue 6
Task sleeping: ID-235 A-13 S-8
Client ID-235 A-13 S-8 was put in queue number 6
Chosen queue 10
Task sleeping: ID-262 A-13 S-7
Client ID-262 A-13 S-7 was put in queue number 10
Chosen queue 11
Task sleeping: ID-317 A-13 S-5
Client ID-317 A-13 S-5 was put in queue number 11
Chosen queue 12
Task taken: ID-589 A-12 S-5
Client ID-418 A-13 S-6 was put in queue number 12
Task sleeping: ID-418 A-13 S-6
Chosen queue 8
Task sleeping: ID-579 A-13 S-11
Client ID-579 A-13 S-11 was put in queue number 8
Chosen queue 13
Task sleeping: ID-681 A-13 S-7
Client ID-681 A-13 S-7 was put in queue number 13
Chosen queue 14
Client ID-774 A-13 S-6 was put in queue number 14
Task sleeping: ID-774 A-13 S-6
Task taken: ID-625 A-12 S-5
Task taken: ID-641 A-12 S-5

Time: 44
Chosen queue 0
Client ID-99 A-14 S-5 was put in queue number 0
Chosen queue 9
Client ID-311 A-14 S-10 was put in queue number 9
Chosen queue 15
Task sleeping: ID-358 A-14 S-5
Task sleeping: ID-99 A-14 S-5
Client ID-358 A-14 S-5 was put in queue number 15
Task sleeping: ID-311 A-14 S-10
Chosen queue 16
Task sleeping: ID-374 A-14 S-11
Client ID-374 A-14 S-11 was put in queue number 16
Chosen queue 17
Task sleeping: ID-520 A-14 S-8
Client ID-520 A-14 S-8 was put in queue number 17
Chosen queue 18
Task sleeping: ID-522 A-14 S-9
Client ID-522 A-14 S-9 was put in queue number 18
Chosen queue 19
Task sleeping: ID-581 A-14 S-3
Client ID-581 A-14 S-3 was put in queue number 19
Chosen queue 0
Client ID-588 A-14 S-5 was put in queue number 0
Chosen queue 1
Client ID-750 A-14 S-5 was put in queue number 1
Chosen queue 2
Client ID-783 A-14 S-8 was put in queue number 2
Chosen queue 3
Client ID-866 A-14 S-7 was put in queue number 3
Chosen queue 4
Client ID-880 A-14 S-6 was put in queue number 4
Chosen queue 5
Client ID-912 A-14 S-11 was put in queue number 5
Chosen queue 6
Client ID-993 A-14 S-11 was put in queue number 6
Task taken: ID-34 A-12 S-11
Task sleeping: ID-750 A-14 S-5

Time: 45
Chosen queue 1
Client ID-19 A-15 S-5 was put in queue number 1
Chosen queue 7
Client ID-48 A-15 S-4 was put in queue number 7
Chosen queue 8
Client ID-292 A-15 S-4 was put in queue number 8
Chosen queue 9
Client ID-321 A-15 S-10 was put in queue number 9
Chosen queue 10
Client ID-340 A-15 S-4 was put in queue number 10
Chosen queue 11
Client ID-808 A-15 S-8 was put in queue number 11
Chosen queue 12
Client ID-897 A-15 S-11 was put in queue number 12
Chosen queue 13
Client ID-962 A-15 S-9 was put in queue number 13
Task taken: ID-411 A-12 S-8
Task sleeping: ID-48 A-15 S-4

Time: 46
Chosen queue 7
Client ID-10 A-16 S-5 was put in queue number 7
Chosen queue 14
Client ID-63 A-16 S-8 was put in queue number 14
Chosen queue 15
Client ID-110 A-16 S-11 was put in queue number 15
Chosen queue 16
Client ID-158 A-16 S-7 was put in queue number 16
Chosen queue 17
Client ID-392 A-16 S-5 was put in queue number 17
Chosen queue 18
Client ID-399 A-16 S-5 was put in queue number 18
Chosen queue 19
Client ID-402 A-16 S-5 was put in queue number 19
Chosen queue 0
Client ID-575 A-16 S-6 was put in queue number 0
Chosen queue 1
Client ID-762 A-16 S-8 was put in queue number 1
Chosen queue 2
Client ID-773 A-16 S-11 was put in queue number 2
Chosen queue 3
Client ID-823 A-16 S-3 was put in queue number 3
Chosen queue 4
Client ID-856 A-16 S-6 was put in queue number 4
Task taken: ID-317 A-13 S-5
Task taken: ID-581 A-14 S-3
Task sleeping: ID-402 A-16 S-5
Task sleeping: ID-808 A-15 S-8

Time: 47
Chosen queue 11
Client ID-49 A-17 S-8 was put in queue number 11
Chosen queue 19
Client ID-157 A-17 S-4 was put in queue number 19
Chosen queue 5
Client ID-253 A-17 S-4 was put in queue number 5
Chosen queue 6
Client ID-565 A-17 S-5 was put in queue number 6
Chosen queue 7
Client ID-639 A-17 S-6 was put in queue number 7
Chosen queue 8
Client ID-696 A-17 S-7 was put in queue number 8
Chosen queue 9
Client ID-798 A-17 S-9 was put in queue number 9
Chosen queue 10
Client ID-988 A-17 S-5 was put in queue number 10
Task taken: ID-267 A-12 S-10
Task sleeping: ID-783 A-14 S-8
Task taken: ID-315 A-12 S-11
Task sleeping: ID-866 A-14 S-7

Time: 48
Chosen queue 2
Client ID-20 A-18 S-11 was put in queue number 2
Chosen queue 3
Client ID-238 A-18 S-11 was put in queue number 3
Chosen queue 11
Client ID-319 A-18 S-3 was put in queue number 11
Chosen queue 12
Client ID-360 A-18 S-6 was put in queue number 12
Chosen queue 13
Client ID-438 A-18 S-3 was put in queue number 13
Chosen queue 14
Client ID-480 A-18 S-8 was put in queue number 14
Chosen queue 15
Client ID-486 A-18 S-5 was put in queue number 15
Chosen queue 16
Client ID-500 A-18 S-10 was put in queue number 16
Chosen queue 17
Client ID-509 A-18 S-7 was put in queue number 17
Chosen queue 18
Client ID-683 A-18 S-5 was put in queue number 18
Chosen queue 19
Client ID-782 A-18 S-5 was put in queue number 19
Chosen queue 0
Client ID-939 A-18 S-5 was put in queue number 0
Chosen queue 1
Client ID-981 A-18 S-7 was put in queue number 1
Task taken: ID-418 A-13 S-6
Task sleeping: ID-897 A-15 S-11
Task taken: ID-262 A-13 S-7
Task sleeping: ID-340 A-15 S-4
Task taken: ID-358 A-14 S-5
Task taken: ID-774 A-13 S-6
Task sleeping: ID-110 A-16 S-11
Task sleeping: ID-63 A-16 S-8
Task taken: ID-99 A-14 S-5
Task sleeping: ID-588 A-14 S-5
Task taken: ID-686 A-12 S-10
Task sleeping: ID-880 A-14 S-6
Task taken: ID-235 A-13 S-8
Task sleeping: ID-993 A-14 S-11

Time: 49
Chosen queue 4
Client ID-17 A-19 S-5 was put in queue number 4
Chosen queue 6
Client ID-64 A-19 S-9 was put in queue number 6
Chosen queue 10
Client ID-193 A-19 S-4 was put in queue number 10
Chosen queue 12
Client ID-204 A-19 S-3 was put in queue number 12
Chosen queue 14
Client ID-537 A-19 S-5 was put in queue number 14
Chosen queue 15
Client ID-593 A-19 S-8 was put in queue number 15
Chosen queue 0
Client ID-719 A-19 S-11 was put in queue number 0
Chosen queue 2
Client ID-745 A-19 S-3 was put in queue number 2
Chosen queue 3
Client ID-821 A-19 S-11 was put in queue number 3
Chosen queue 4
Client ID-885 A-19 S-11 was put in queue number 4
Chosen queue 5
Client ID-944 A-19 S-11 was put in queue number 5
Chosen queue 6
Client ID-971 A-19 S-7 was put in queue number 6
Task taken: ID-48 A-15 S-4
Task sleeping: ID-10 A-16 S-5
Task taken: ID-681 A-13 S-7
Task sleeping: ID-962 A-15 S-9
Task taken: ID-750 A-14 S-5
Task sleeping: ID-19 A-15 S-5

Time: 50
Chosen queue 7
Client ID-220 A-20 S-10 was put in queue number 7
Chosen queue 13
Client ID-326 A-20 S-9 was put in queue number 13
Chosen queue 1
Client ID-356 A-20 S-10 was put in queue number 1
Chosen queue 7
Client ID-423 A-20 S-5 was put in queue number 7
Chosen queue 8
Client ID-570 A-20 S-4 was put in queue number 8
Chosen queue 9
Client ID-573 A-20 S-7 was put in queue number 9
Chosen queue 10
Client ID-674 A-20 S-11 was put in queue number 10
Task taken: ID-910 A-12 S-11
Task sleeping: ID-912 A-14 S-11

Time: 51
Chosen queue 5
Client ID-2 A-21 S-7 was put in queue number 5
Chosen queue 11
Client ID-25 A-21 S-7 was put in queue number 11
Chosen queue 12
Client ID-85 A-21 S-8 was put in queue number 12
Chosen queue 13
Client ID-229 A-21 S-5 was put in queue number 13
Chosen queue 14
Client ID-251 A-21 S-9 was put in queue number 14
Chosen queue 15
Client ID-383 A-21 S-10 was put in queue number 15
Chosen queue 16
Client ID-388 A-21 S-4 was put in queue number 16
Chosen queue 17
Client ID-531 A-21 S-3 was put in queue number 17
Chosen queue 18
Client ID-646 A-21 S-4 was put in queue number 18
Chosen queue 19
Client ID-884 A-21 S-9 was put in queue number 19
Chosen queue 0
Client ID-908 A-21 S-4 was put in queue number 0
Chosen queue 1
Client ID-974 A-21 S-11 was put in queue number 1
Task taken: ID-520 A-14 S-8
Task sleeping: ID-392 A-16 S-5
Task taken: ID-402 A-16 S-5
Task sleeping: ID-157 A-17 S-4
Task taken: ID-340 A-15 S-4
Task sleeping: ID-988 A-17 S-5

Time: 52
Chosen queue 10
Client ID-26 A-22 S-6 was put in queue number 10
Chosen queue 17
Client ID-348 A-22 S-4 was put in queue number 17
Chosen queue 19
Client ID-380 A-22 S-11 was put in queue number 19
Chosen queue 2
Client ID-572 A-22 S-9 was put in queue number 2
Chosen queue 3
Client ID-596 A-22 S-11 was put in queue number 3
Chosen queue 4
Client ID-598 A-22 S-8 was put in queue number 4
Chosen queue 5
Client ID-707 A-22 S-11 was put in queue number 5
Chosen queue 6
Client ID-708 A-22 S-8 was put in queue number 6
Chosen queue 7
Client ID-758 A-22 S-3 was put in queue number 7
Chosen queue 8
Client ID-779 A-22 S-3 was put in queue number 8
Chosen queue 9
Client ID-837 A-22 S-3 was put in queue number 9
Chosen queue 10
Client ID-978 A-22 S-10 was put in queue number 10
Task taken: ID-522 A-14 S-9
Task sleeping: ID-399 A-16 S-5
Task taken: ID-579 A-13 S-11
Task sleeping: ID-292 A-15 S-4

Time: 54
Chosen queue 18
Client ID-28 A-23 S-11 was put in queue number 18
Chosen queue 8
Client ID-185 A-23 S-9 was put in queue number 8
Chosen queue 11
Client ID-800 A-23 S-6 was put in queue number 11
Chosen queue 12
Client ID-872 A-23 S-8 was put in queue number 12
Chosen queue 13
Client ID-917 A-23 S-8 was put in queue number 13
Chosen queue 14
Client ID-947 A-23 S-3 was put in queue number 14
Task taken: ID-311 A-14 S-10
Task sleeping: ID-321 A-15 S-10
Task taken: ID-588 A-14 S-5
Task sleeping: ID-575 A-16 S-6
Task taken: ID-10 A-16 S-5
Task sleeping: ID-639 A-17 S-6

Time: 55
Chosen queue 0
Client ID-15 A-24 S-10 was put in queue number 0
Chosen queue 7
Client ID-357 A-24 S-3 was put in queue number 7
Task taken: ID-19 A-15 S-5
Task sleeping: ID-762 A-16 S-8
Chosen queue 1
Client ID-470 A-24 S-8 was put in queue number 1
Chosen queue 9
Client ID-526 A-24 S-10 was put in queue number 9
Chosen queue 15
Client ID-528 A-24 S-5 was put in queue number 15
Chosen queue 16
Client ID-587 A-24 S-10 was put in queue number 16
Chosen queue 17
Client ID-656 A-24 S-10 was put in queue number 17
Chosen queue 18
Client ID-663 A-24 S-5 was put in queue number 18
Chosen queue 19
Task taken: ID-374 A-14 S-11
Task sleeping: ID-158 A-16 S-7
Client ID-760 A-24 S-6 was put in queue number 19
Chosen queue 16
Client ID-778 A-24 S-6 was put in queue number 16
Chosen queue 0
Client ID-784 A-24 S-4 was put in queue number 0
Chosen queue 1
Client ID-801 A-24 S-6 was put in queue number 1
Task taken: ID-808 A-15 S-8
Task sleeping: ID-49 A-17 S-8
Task taken: ID-880 A-14 S-6
Task sleeping: ID-856 A-16 S-6
Task taken: ID-866 A-14 S-7
Task sleeping: ID-823 A-16 S-3
Task taken: ID-783 A-14 S-8
Task sleeping: ID-773 A-16 S-11

Time: 56
Chosen queue 2
Client ID-178 A-25 S-9 was put in queue number 2
Chosen queue 3
Task taken: ID-157 A-17 S-4
Task sleeping: ID-782 A-18 S-5
Client ID-290 A-25 S-9 was put in queue number 3
Chosen queue 4
Client ID-419 A-25 S-11 was put in queue number 4
Chosen queue 11
Client ID-435 A-25 S-6 was put in queue number 11
Chosen queue 19
Client ID-497 A-25 S-7 was put in queue number 19
Chosen queue 2
Client ID-564 A-25 S-6 was put in queue number 2
Chosen queue 3
Client ID-711 A-25 S-10 was put in queue number 3
Chosen queue 4
Client ID-809 A-25 S-9 was put in queue number 4
Chosen queue 5
Client ID-927 A-25 S-7 was put in queue number 5
Task taken: ID-63 A-16 S-8
Task sleeping: ID-480 A-18 S-8
Task taken: ID-392 A-16 S-5
Task sleeping: ID-509 A-18 S-7

Time: 57
Chosen queue 14
Client ID-131 A-26 S-3 was put in queue number 14
Chosen queue 17
Client ID-242 A-26 S-6 was put in queue number 17
Chosen queue 6
Client ID-391 A-26 S-4 was put in queue number 6
Chosen queue 7
Client ID-469 A-26 S-8 was put in queue number 7
Chosen queue 8
Client ID-476 A-26 S-6 was put in queue number 8
Chosen queue 9
Client ID-512 A-26 S-3 was put in queue number 9
Chosen queue 10
Client ID-648 A-26 S-4 was put in queue number 10
Chosen queue 11
Client ID-687 A-26 S-6 was put in queue number 11
Chosen queue 12
Client ID-688 A-26 S-11 was put in queue number 12
Chosen queue 13
Client ID-699 A-26 S-11 was put in queue number 13
Chosen queue 14
Client ID-703 A-26 S-7 was put in queue number 14
Task taken: ID-988 A-17 S-5
Task sleeping: ID-193 A-19 S-4
Task taken: ID-292 A-15 S-4
Task sleeping: ID-696 A-17 S-7
Task taken: ID-399 A-16 S-5
Task sleeping: ID-683 A-18 S-5

Time: 58
Chosen queue 18
Client ID-55 A-27 S-11 was put in queue number 18
Chosen queue 8
Client ID-59 A-27 S-5 was put in queue number 8
Chosen queue 10
Client ID-137 A-27 S-4 was put in queue number 10
Chosen queue 15
Client ID-142 A-27 S-3 was put in queue number 15
Chosen queue 16
Client ID-192 A-27 S-4 was put in queue number 16
Chosen queue 17
Client ID-244 A-27 S-10 was put in queue number 17
Chosen queue 18
Client ID-325 A-27 S-11 was put in queue number 18
Chosen queue 19
Client ID-414 A-27 S-8 was put in queue number 19
Chosen queue 0
Client ID-444 A-27 S-4 was put in queue number 0
Chosen queue 1
Client ID-447 A-27 S-6 was put in queue number 1
Chosen queue 2
Client ID-452 A-27 S-10 was put in queue number 2
Chosen queue 3
Client ID-659 A-27 S-9 was put in queue number 3
Task taken: ID-823 A-16 S-3
Task sleeping: ID-238 A-18 S-11
Chosen queue 3
Client ID-966 A-27 S-10 was put in queue number 3
Task taken: ID-962 A-15 S-9
Task sleeping: ID-438 A-18 S-3

Time: 59
Chosen queue 13
Client ID-173 A-28 S-11 was put in queue number 13
Chosen queue 4
Client ID-199 A-28 S-7 was put in queue number 4
Chosen queue 5
Client ID-352 A-28 S-5 was put in queue number 5
Chosen queue 6
Client ID-467 A-28 S-5 was put in queue number 6
Chosen queue 7
Client ID-493 A-28 S-7 was put in queue number 7
Chosen queue 8
Client ID-657 A-28 S-10 was put in queue number 8
Chosen queue 9
Client ID-768 A-28 S-5 was put in queue number 9
Chosen queue 10
Client ID-806 A-28 S-5 was put in queue number 10
Chosen queue 11
Client ID-874 A-28 S-10 was put in queue number 11
Task taken: ID-897 A-15 S-11
Task sleeping: ID-360 A-18 S-6
Task taken: ID-110 A-16 S-11
Task sleeping: ID-486 A-18 S-5
Task taken: ID-575 A-16 S-6
Task sleeping: ID-939 A-18 S-5
Task taken: ID-993 A-14 S-11
Task sleeping: ID-565 A-17 S-5

Time: 60
Chosen queue 12
Client ID-76 A-29 S-9 was put in queue number 12
Chosen queue 15
Client ID-81 A-29 S-8 was put in queue number 15
Chosen queue 0
Client ID-213 A-29 S-11 was put in queue number 0
Chosen queue 6
Client ID-379 A-29 S-10 was put in queue number 6
Chosen queue 12
Client ID-505 A-29 S-6 was put in queue number 12
Chosen queue 13
Client ID-510 A-29 S-11 was put in queue number 13
Task taken: ID-639 A-17 S-6
Task sleeping: ID-220 A-20 S-10
Chosen queue 7
Client ID-615 A-29 S-10 was put in queue number 7
Chosen queue 14
Client ID-830 A-29 S-3 was put in queue number 14
Chosen queue 15
Client ID-849 A-29 S-10 was put in queue number 15
Task taken: ID-782 A-18 S-5
Task sleeping: ID-884 A-21 S-9
Task taken: ID-856 A-16 S-6
Task sleeping: ID-17 A-19 S-5

Time: 61
Chosen queue 19
Client ID-140 A-30 S-8 was put in queue number 19
Task taken: ID-193 A-19 S-4
Task sleeping: ID-674 A-20 S-11
Chosen queue 4
Client ID-188 A-30 S-3 was put in queue number 4
Chosen queue 10
Client ID-203 A-30 S-8 was put in queue number 10
Chosen queue 16
Client ID-281 A-30 S-3 was put in queue number 16
Chosen queue 17
Client ID-327 A-30 S-7 was put in queue number 17
Task taken: ID-912 A-14 S-11
Task sleeping: ID-253 A-17 S-4
Chosen queue 5
Client ID-336 A-30 S-9 was put in queue number 5
Chosen queue 18
Client ID-387 A-30 S-6 was put in queue number 18
Chosen queue 19
Client ID-524 A-30 S-6 was put in queue number 19
Chosen queue 0
Client ID-577 A-30 S-7 was put in queue number 0
Chosen queue 1
Client ID-592 A-30 S-7 was put in queue number 1
Chosen queue 2
Client ID-718 A-30 S-7 was put in queue number 2
Chosen queue 3
Client ID-963 A-30 S-7 was put in queue number 3
Chosen queue 4
Client ID-967 A-30 S-3 was put in queue number 4
Chosen queue 5
Client ID-998 A-30 S-9 was put in queue number 5
Task taken: ID-438 A-18 S-3
Task sleeping: ID-326 A-20 S-9
Task taken: ID-158 A-16 S-7
Task sleeping: ID-500 A-18 S-10

Time: 62
Chosen queue 13
Client ID-12 A-31 S-6 was put in queue number 13
Chosen queue 16
Client ID-88 A-31 S-5 was put in queue number 16
Chosen queue 6
Client ID-197 A-31 S-11 was put in queue number 6
Chosen queue 7
Client ID-293 A-31 S-3 was put in queue number 7
Chosen queue 8
Client ID-312 A-31 S-6 was put in queue number 8
Chosen queue 9
Client ID-660 A-31 S-5 was put in queue number 9
Chosen queue 10
Client ID-682 A-31 S-3 was put in queue number 10
Chosen queue 11
Client ID-818 A-31 S-3 was put in queue number 11
Task taken: ID-762 A-16 S-8
Task sleeping: ID-981 A-18 S-7
Task taken: ID-49 A-17 S-8
Task taken: ID-683 A-18 S-5
Task sleeping: ID-646 A-21 S-4
Task sleeping: ID-319 A-18 S-3

Time: 63
Chosen queue 18
Client ID-16 A-32 S-5 was put in queue number 18
Chosen queue 1
Client ID-40 A-32 S-8 was put in queue number 1
Chosen queue 11
Client ID-106 A-32 S-10 was put in queue number 11
Chosen queue 12
Client ID-145 A-32 S-3 was put in queue number 12
Chosen queue 13
Client ID-168 A-32 S-10 was put in queue number 13
Chosen queue 14
Client ID-385 A-32 S-4 was put in queue number 14
Chosen queue 15
Client ID-417 A-32 S-10 was put in queue number 15
Chosen queue 16
Client ID-506 A-32 S-10 was put in queue number 16
Chosen queue 17
Client ID-542 A-32 S-6 was put in queue number 17
Chosen queue 18
Client ID-839 A-32 S-11 was put in queue number 18
Chosen queue 19
Client ID-965 A-32 S-7 was put in queue number 19
Task taken: ID-321 A-15 S-10
Task sleeping: ID-798 A-17 S-9
Task taken: ID-509 A-18 S-7
Task sleeping: ID-531 A-21 S-3
Task taken: ID-696 A-17 S-7
Task sleeping: ID-570 A-20 S-4

Time: 64
Chosen queue 8
Client ID-56 A-33 S-4 was put in queue number 8
Chosen queue 9
Client ID-127 A-33 S-10 was put in queue number 9
Chosen queue 17
Client ID-233 A-33 S-3 was put in queue number 17
Chosen queue 0
Client ID-378 A-33 S-3 was put in queue number 0
Chosen queue 1
Client ID-403 A-33 S-11 was put in queue number 1
Chosen queue 2
Client ID-631 A-33 S-8 was put in queue number 2
Chosen queue 3
Client ID-815 A-33 S-11 was put in queue number 3
Chosen queue 4
Client ID-869 A-33 S-7 was put in queue number 4
Task taken: ID-480 A-18 S-8
Task taken: ID-486 A-18 S-5
Task sleeping: ID-537 A-19 S-5
Task sleeping: ID-593 A-19 S-8
Task taken: ID-939 A-18 S-5
Task sleeping: ID-719 A-19 S-11
Task taken: ID-565 A-17 S-5
Task sleeping: ID-64 A-19 S-9
Task taken: ID-360 A-18 S-6
Task sleeping: ID-204 A-19 S-3
Task taken: ID-253 A-17 S-4
Task sleeping: ID-944 A-19 S-11

Time: 65
Chosen queue 5
Client ID-230 A-34 S-11 was put in queue number 5
Chosen queue 6
Client ID-316 A-34 S-3 was put in queue number 6
Chosen queue 12
Client ID-457 A-34 S-3 was put in queue number 12
Chosen queue 14
Client ID-633 A-34 S-8 was put in queue number 14
Chosen queue 15
Client ID-728 A-34 S-8 was put in queue number 15
Chosen queue 0
Client ID-928 A-34 S-6 was put in queue number 0
Task taken: ID-319 A-18 S-3
Task sleeping: ID-25 A-21 S-7
Task taken: ID-17 A-19 S-5
Task sleeping: ID-885 A-19 S-11
Task taken: ID-773 A-16 S-11
Task sleeping: ID-20 A-18 S-11

Time: 67
Chosen queue 11
Client ID-4 A-35 S-10 was put in queue number 11
Chosen queue 2
Client ID-14 A-35 S-8 was put in queue number 2
Chosen queue 4
Client ID-109 A-35 S-3 was put in queue number 4
Chosen queue 5
Client ID-166 A-35 S-10 was put in queue number 5
Chosen queue 6
Client ID-408 A-35 S-5 was put in queue number 6
Chosen queue 7
Client ID-507 A-35 S-8 was put in queue number 7
Chosen queue 8
Client ID-557 A-35 S-4 was put in queue number 8
Chosen queue 9
Client ID-644 A-35 S-7 was put in queue number 9
Task taken: ID-531 A-21 S-3
Task taken: ID-646 A-21 S-4
Task sleeping: ID-348 A-22 S-4
Task sleeping: ID-28 A-23 S-11
Chosen queue 17
Client ID-673 A-35 S-10 was put in queue number 17
Chosen queue 18
Client ID-807 A-35 S-7 was put in queue number 18

Time: 68
Chosen queue 10
Client ID-9 A-36 S-9 was put in queue number 10
Chosen queue 11
Client ID-78 A-36 S-5 was put in queue number 11
Chosen queue 12
Client ID-83 A-36 S-9 was put in queue number 12
Chosen queue 13
Client ID-322 A-36 S-11 was put in queue number 13
Chosen queue 14
Client ID-368 A-36 S-8 was put in queue number 14
Chosen queue 15
Client ID-407 A-36 S-4 was put in queue number 15
Chosen queue 16
Client ID-451 A-36 S-4 was put in queue number 16
Chosen queue 17
Client ID-643 A-36 S-8 was put in queue number 17
Chosen queue 18
Client ID-868 A-36 S-10 was put in queue number 18
Chosen queue 19
Client ID-911 A-36 S-7 was put in queue number 19
Chosen queue 0
Client ID-943 A-36 S-9 was put in queue number 0
Task taken: ID-204 A-19 S-3
Task sleeping: ID-85 A-21 S-8
Task taken: ID-570 A-20 S-4
Task sleeping: ID-779 A-22 S-3

Time: 69
Chosen queue 8
Client ID-41 A-37 S-3 was put in queue number 8
Chosen queue 12
Client ID-138 A-37 S-4 was put in queue number 12
Chosen queue 1
Client ID-382 A-37 S-11 was put in queue number 1
Chosen queue 2
Client ID-428 A-37 S-3 was put in queue number 2
Chosen queue 3
Client ID-490 A-37 S-9 was put in queue number 3
Chosen queue 4
Client ID-689 A-37 S-4 was put in queue number 4
Chosen queue 5
Client ID-857 A-37 S-5 was put in queue number 5
Chosen queue 6
Client ID-878 A-37 S-10 was put in queue number 6
Task taken: ID-238 A-18 S-11
Task sleeping: ID-821 A-19 S-11
Task taken: ID-981 A-18 S-7
Task sleeping: ID-356 A-20 S-10
Task taken: ID-537 A-19 S-5
Task sleeping: ID-251 A-21 S-9
Task taken: ID-884 A-21 S-9
Task sleeping: ID-380 A-22 S-11

Time: 70
Chosen queue 14
Client ID-32 A-38 S-6 was put in queue number 14
Chosen queue 19
Client ID-310 A-38 S-3 was put in queue number 19
Chosen queue 1
Client ID-355 A-38 S-4 was put in queue number 1
Chosen queue 3
Client ID-580 A-38 S-5 was put in queue number 3
Chosen queue 7
Client ID-626 A-38 S-4 was put in queue number 7
Task taken: ID-220 A-20 S-10
Task sleeping: ID-423 A-20 S-5
Task taken: ID-326 A-20 S-9
Task sleeping: ID-229 A-21 S-5
Task taken: ID-348 A-22 S-4
Task sleeping: ID-656 A-24 S-10

Time: 71
Chosen queue 13
Client ID-89 A-39 S-5 was put in queue number 13
Chosen queue 17
Client ID-107 A-39 S-4 was put in queue number 17
Chosen queue 7
Client ID-277 A-39 S-6 was put in queue number 7
Chosen queue 8
Client ID-300 A-39 S-6 was put in queue number 8
Chosen queue 9
Client ID-344 A-39 S-5 was put in queue number 9
Chosen queue 10
Client ID-416 A-39 S-7 was put in queue number 10
Chosen queue 11
Client ID-535 A-39 S-4 was put in queue number 11
Chosen queue 12
Client ID-568 A-39 S-7 was put in queue number 12
Chosen queue 13
Client ID-665 A-39 S-8 was put in queue number 13
Chosen queue 14
Client ID-796 A-39 S-9 was put in queue number 14
Chosen queue 15
Client ID-826 A-39 S-5 was put in queue number 15
Chosen queue 16
Client ID-829 A-39 S-5 was put in queue number 16
Chosen queue 17
Client ID-862 A-39 S-6 was put in queue number 17
Chosen queue 18
Client ID-890 A-39 S-6 was put in queue number 18
Chosen queue 19
Client ID-925 A-39 S-9 was put in queue number 19
Chosen queue 0
Client ID-959 A-39 S-5 was put in queue number 0
Task taken: ID-779 A-22 S-3
Task sleeping: ID-185 A-23 S-9
Task taken: ID-500 A-18 S-10
Task sleeping: ID-388 A-21 S-4

Time: 72
Chosen queue 8
Client ID-116 A-40 S-9 was put in queue number 8
Chosen queue 16
Client ID-227 A-40 S-9 was put in queue number 16
Chosen queue 1
Client ID-269 A-40 S-4 was put in queue number 1
Chosen queue 2
Client ID-301 A-40 S-9 was put in queue number 2
Chosen queue 3
Client ID-558 A-40 S-11 was put in queue number 3
Chosen queue 4
Client ID-769 A-40 S-4 was put in queue number 4
Task taken: ID-674 A-20 S-11
Task sleeping: ID-26 A-22 S-6
Task taken: ID-798 A-17 S-9
Task taken: ID-593 A-19 S-8
Task sleeping: ID-573 A-20 S-7
Task sleeping: ID-383 A-21 S-10
Task taken: ID-25 A-21 S-7
Task sleeping: ID-800 A-23 S-6

Time: 73
Chosen queue 9
Client ID-101 A-41 S-5 was put in queue number 9
Chosen queue 10
Client ID-135 A-41 S-5 was put in queue number 10
Chosen queue 11
Client ID-308 A-41 S-7 was put in queue number 11
Chosen queue 15
Client ID-343 A-41 S-11 was put in queue number 15
Chosen queue 5
Client ID-420 A-41 S-8 was put in queue number 5
Chosen queue 6
Client ID-590 A-41 S-9 was put in queue number 6
Chosen queue 7
Client ID-622 A-41 S-8 was put in queue number 7
Chosen queue 8
Client ID-898 A-41 S-4 was put in queue number 8
