Strategy: SHORTEST_TIME
Task sleeping: ID-513 A-11 S-6
Client ID-513 A-11 S-6 was put in queue number 16
Chosen queue 17
Task sleeping: ID-626 A-11 S-11
Client ID-626 A-11 S-11 was put in queue number 17
Chosen queue 18
Task sleeping: ID-635 A-11 S-7
Client ID-635 A-11 S-7 was put in queue number 18
Chosen queue 19
Task sleeping: ID-845 A-11 S-8
Client ID-845 A-11 S-8 was put in queue number 19
Chosen queue 0
Client ID-909 A-11 S-5 was put in queue number 0
Chosen queue 1
Client ID-919 A-11 S-4 was put in queue number 1
Chosen queue 2
Client ID-992 A-11 S-4 was put in queue number 2

Time: 14
Chosen queue 3
Client ID-55 A-12 S-9 was put in queue number 3
Chosen queue 4
Client ID-81 A-12 S-7 was put in queue number 4
Chosen queue 5
Client ID-123 A-12 S-3 was put in queue number 5
Chosen queue 6
Client ID-186 A-12 S-3 was put in queue number 6
Chosen queue 7
Client ID-214 A-12 S-5 was put in queue number 7
Chosen queue 8
Client ID-411 A-12 S-11 was put in queue number 8
Chosen queue 9
Client ID-541 A-12 S-8 was put in queue number 9
Chosen queue 10
Client ID-816 A-12 S-9 was put in queue number 10
Task taken: ID-99 A-10 S-3
Chosen queue 1
Client ID-842 A-12 S-10 was put in queue number 1
Task sleeping: ID-919 A-11 S-4
Chosen queue 11
Client ID-843 A-12 S-7 was put in queue number 11
Chosen queue 12
Client ID-949 A-12 S-9 was put in queue number 12

Time: 15
Chosen queue 13
Client ID-105 A-13 S-9 was put in queue number 13
Chosen queue 14
Client ID-175 A-13 S-9 was put in queue number 14
Chosen queue 15
Client ID-499 A-13 S-7 was put in queue number 15
Chosen queue 16
Client ID-533 A-13 S-4 was put in queue number 16
Chosen queue 17
Client ID-584 A-13 S-7 was put in queue number 17
Chosen queue 18
Client ID-704 A-13 S-4 was put in queue number 18
Chosen queue 19
Client ID-749 A-13 S-8 was put in queue number 19
Chosen queue 0
Client ID-848 A-13 S-3 was put in queue number 0
Chosen queue 1
Client ID-976 A-13 S-7 was put in queue number 1
Task taken: ID-54 A-10 S-5
Task sleeping: ID-909 A-11 S-5
Task taken: ID-504 A-10 S-4
Task sleeping: ID-541 A-12 S-8

Time: 16
Chosen queue 9
Client ID-147 A-14 S-4 was put in queue number 9
Chosen queue 0
Client ID-220 A-14 S-9 was put in queue number 0
Chosen queue 2
Client ID-261 A-14 S-10 was put in queue number 2
Chosen queue 3
Client ID-334 A-14 S-7 was put in queue number 3
Chosen queue 4
Client ID-388 A-14 S-4 was put in queue number 4
Chosen queue 5
Client ID-599 A-14 S-8 was put in queue number 5
Chosen queue 6
Client ID-822 A-14 S-3 was put in queue number 6
Chosen queue 7
Client ID-953 A-14 S-11 was put in queue number 7
Task taken: ID-104 A-10 S-6
Task sleeping: ID-992 A-11 S-4
Task taken: ID-246 A-10 S-6
Task sleeping: ID-81 A-12 S-7

Time: 17
Chosen queue 2
Client ID-48 A-15 S-8 was put in queue number 2
Chosen queue 4
Client ID-118 A-15 S-4 was put in queue number 4
Chosen queue 8
Client ID-262 A-15 S-10 was put in queue number 8
Chosen queue 9
Client ID-269 A-15 S-6 was put in queue number 9
Chosen queue 10
Client ID-685 A-15 S-4 was put in queue number 10
Chosen queue 11
Client ID-979 A-15 S-4 was put in queue number 11
Task taken: ID-861 A-10 S-6
Task sleeping: ID-949 A-12 S-9
Task taken: ID-919 A-11 S-4
Task sleeping: ID-842 A-12 S-10

Time: 18
Chosen queue 12
Client ID-133 A-16 S-5 was put in queue number 12
Chosen queue 1
Client ID-502 A-16 S-10 was put in queue number 1
Chosen queue 12
Client ID-547 A-16 S-8 was put in queue number 12
Chosen queue 13
Client ID-690 A-16 S-5 was put in queue number 13
Chosen queue 14
Client ID-876 A-16 S-8 was put in queue number 14
Task taken: ID-505 A-11 S-6
Task sleeping: ID-499 A-13 S-7
Task taken: ID-513 A-11 S-6
Task sleeping: ID-533 A-13 S-4
Task taken: ID-163 A-10 S-8
Task sleeping: ID-55 A-12 S-9

Time: 19
Chosen queue 15
Client ID-111 A-17 S-6 was put in queue number 15
Chosen queue 16
Client ID-142 A-17 S-10 was put in queue number 16
Chosen queue 3
Client ID-143 A-17 S-8 was put in queue number 3
Chosen queue 15
Client ID-340 A-17 S-7 was put in queue number 15
Chosen queue 16
Client ID-392 A-17 S-7 was put in queue number 16
Chosen queue 17
Client ID-710 A-17 S-9 was put in queue number 17
Chosen queue 18
Client ID-806 A-17 S-4 was put in queue number 18
Chosen queue 19
Client ID-989 A-17 S-8 was put in queue number 19
Task taken: ID-178 A-11 S-7
Task sleeping: ID-175 A-13 S-9
Task taken: ID-635 A-11 S-7
Task sleeping: ID-704 A-13 S-4
Task taken: ID-433 A-10 S-9
Task sleeping: ID-214 A-12 S-5

Time: 20
Chosen queue 7
Client ID-16 A-18 S-11 was put in queue number 7
Chosen queue 14
Client ID-23 A-18 S-4 was put in queue number 14
Chosen queue 18
Client ID-127 A-18 S-4 was put in queue number 18
Chosen queue 0
Client ID-231 A-18 S-4 was put in queue number 0
Chosen queue 1
Client ID-325 A-18 S-4 was put in queue number 1
Chosen queue 2
Client ID-351 A-18 S-3 was put in queue number 2
Chosen queue 3
Client ID-416 A-18 S-10 was put in queue number 3
Chosen queue 4
Client ID-561 A-18 S-7 was put in queue number 4
Chosen queue 5
Client ID-686 A-18 S-8 was put in queue number 5
Chosen queue 6
Client ID-698 A-18 S-11 was put in queue number 6
Chosen queue 7
Client ID-817 A-18 S-11 was put in queue number 7
Chosen queue 8
Client ID-868 A-18 S-3 was put in queue number 8
Task taken: ID-909 A-11 S-5
Task sleeping: ID-848 A-13 S-3
Task taken: ID-553 A-10 S-9
Task sleeping: ID-816 A-12 S-9
Task taken: ID-845 A-11 S-8
Task sleeping: ID-749 A-13 S-8
Task taken: ID-992 A-11 S-4
Task sleeping: ID-261 A-14 S-10
Task taken: ID-366 A-10 S-10
Task sleeping: ID-123 A-12 S-3
Task taken: ID-449 A-10 S-10
Task sleeping: ID-411 A-12 S-11

Time: 21
Chosen queue 10
Client ID-39 A-19 S-7 was put in queue number 10
Chosen queue 19
Client ID-69 A-19 S-4 was put in queue number 19
Chosen queue 0
Client ID-119 A-19 S-3 was put in queue number 0
Chosen queue 2
Client ID-238 A-19 S-6 was put in queue number 2
Chosen queue 5
Client ID-732 A-19 S-4 was put in queue number 5
Chosen queue 8
Client ID-889 A-19 S-6 was put in queue number 8
Chosen queue 9
Client ID-934 A-19 S-6 was put in queue number 9
Task taken: ID-664 A-10 S-10
Task sleeping: ID-843 A-12 S-7
Task taken: ID-390 A-10 S-11
Task sleeping: ID-186 A-12 S-3

Time: 22
Chosen queue 11
Client ID-57 A-20 S-9 was put in queue number 11
Chosen queue 6
Client ID-297 A-20 S-4 was put in queue number 6
Chosen queue 10
Client ID-338 A-20 S-3 was put in queue number 10
Chosen queue 11
Client ID-453 A-20 S-5 was put in queue number 11
Chosen queue 12
Client ID-548 A-20 S-8 was put in queue number 12
Chosen queue 13
Client ID-728 A-20 S-4 was put in queue number 13
Chosen queue 14
Client ID-778 A-20 S-7 was put in queue number 14
Task taken: ID-533 A-13 S-4
Task sleeping: ID-142 A-17 S-10
Task taken: ID-848 A-13 S-3
Task sleeping: ID-220 A-14 S-9
Task taken: ID-541 A-12 S-8
Task sleeping: ID-147 A-14 S-4

Time: 23
Chosen queue 16
Client ID-64 A-21 S-6 was put in queue number 16
Chosen queue 0
Client ID-154 A-21 S-4 was put in queue number 0
Chosen queue 9
Client ID-421 A-21 S-5 was put in queue number 9
Chosen queue 15
Client ID-429 A-21 S-3 was put in queue number 15
Chosen queue 16
Client ID-522 A-21 S-9 was put in queue number 16
Chosen queue 17
Client ID-654 A-21 S-9 was put in queue number 17
Chosen queue 18
Client ID-759 A-21 S-10 was put in queue number 18
Chosen queue 19
Client ID-810 A-21 S-9 was put in queue number 19
Chosen queue 0
Client ID-971 A-21 S-11 was put in queue number 0
Task taken: ID-37 A-11 S-11
Task sleeping: ID-105 A-13 S-9
Task taken: ID-626 A-11 S-11
Task taken: ID-704 A-13 S-4
Task sleeping: ID-584 A-13 S-7
Task sleeping: ID-806 A-17 S-4
Task taken: ID-81 A-12 S-7
Task sleeping: ID-388 A-14 S-4
Task taken: ID-123 A-12 S-3
Task sleeping: ID-599 A-14 S-8

Time: 25
Chosen queue 4
Client ID-28 A-22 S-8 was put in queue number 4
Chosen queue 5
Client ID-94 A-22 S-6 was put in queue number 5
Chosen queue 13
Client ID-117 A-22 S-3 was put in queue number 13
Chosen queue 17
Client ID-437 A-22 S-4 was put in queue number 17
Chosen queue 18
Client ID-486 A-22 S-3 was put in queue number 18
Chosen queue 1
Client ID-555 A-22 S-8 was put in queue number 1
Chosen queue 2
Client ID-565 A-22 S-7 was put in queue number 2
Chosen queue 3
Client ID-602 A-22 S-8 was put in queue number 3
Chosen queue 4
Client ID-642 A-22 S-7 was put in queue number 4
Chosen queue 5
Client ID-731 A-22 S-10 was put in queue number 5
Chosen queue 6
Client ID-760 A-22 S-8 was put in queue number 6
Chosen queue 7
Client ID-925 A-22 S-6 was put in queue number 7
Chosen queue 8
Client ID-985 A-22 S-4 was put in queue number 8
Task taken: ID-214 A-12 S-5
Task sleeping: ID-953 A-14 S-11
Task taken: ID-186 A-12 S-3
Task sleeping: ID-822 A-14 S-3
Task taken: ID-499 A-13 S-7
Task sleeping: ID-111 A-17 S-6

Time: 26
Chosen queue 15
Client ID-343 A-23 S-11 was put in queue number 15
Chosen queue 6
Client ID-352 A-23 S-3 was put in queue number 6
Chosen queue 7
Client ID-443 A-23 S-4 was put in queue number 7
Chosen queue 9
Client ID-474 A-23 S-4 was put in queue number 9
Chosen queue 10
Client ID-557 A-23 S-8 was put in queue number 10
Task taken: ID-949 A-12 S-9
Task sleeping: ID-133 A-16 S-5

Time: 27
Chosen queue 12
Client ID-362 A-24 S-4 was put in queue number 12
Chosen queue 11
Client ID-696 A-24 S-10 was put in queue number 11
Chosen queue 12
Client ID-828 A-24 S-4 was put in queue number 12
Chosen queue 13
Client ID-850 A-24 S-8 was put in queue number 13
Chosen queue 14
Client ID-886 A-24 S-7 was put in queue number 14
Task taken: ID-147 A-14 S-4
Task sleeping: ID-269 A-15 S-6
Task taken: ID-806 A-17 S-4
Task sleeping: ID-127 A-18 S-4

Time: 28
Chosen queue 18
Client ID-132 A-25 S-3 was put in queue number 18
Chosen queue 9
Client ID-181 A-25 S-5 was put in queue number 9
Chosen queue 15
Client ID-266 A-25 S-5 was put in queue number 15
Chosen queue 16
Client ID-294 A-25 S-9 was put in queue number 16
Chosen queue 17
Client ID-652 A-25 S-3 was put in queue number 17
Task taken: ID-55 A-12 S-9
Task sleeping: ID-334 A-14 S-7
Chosen queue 3
Client ID-691 A-25 S-10 was put in queue number 3
Chosen queue 18
Client ID-757 A-25 S-10 was put in queue number 18
Chosen queue 19
Client ID-952 A-25 S-7 was put in queue number 19
Task taken: ID-388 A-14 S-4
Task sleeping: ID-118 A-15 S-4
Task taken: ID-842 A-12 S-10
Task sleeping: ID-976 A-13 S-7
Task taken: ID-822 A-14 S-3
Task sleeping: ID-698 A-18 S-11
Task taken: ID-843 A-12 S-7
Task sleeping: ID-979 A-15 S-4
Task taken: ID-175 A-13 S-9
Task sleeping: ID-876 A-16 S-8
Task taken: ID-749 A-13 S-8
Task sleeping: ID-989 A-17 S-8

Time: 29
Chosen queue 1
Client ID-68 A-26 S-3 was put in queue number 1
Chosen queue 4
Client ID-92 A-26 S-7 was put in queue number 4
Chosen queue 6
Client ID-135 A-26 S-5 was put in queue number 6
Chosen queue 11
Client ID-293 A-26 S-3 was put in queue number 11
Chosen queue 14
Client ID-348 A-26 S-3 was put in queue number 14
Chosen queue 19
Client ID-363 A-26 S-6 was put in queue number 19
Chosen queue 0
Client ID-417 A-26 S-5 was put in queue number 0
Chosen queue 1
Client ID-422 A-26 S-4 was put in queue number 1
Chosen queue 2
Client ID-567 A-26 S-11 was put in queue number 2
Chosen queue 3
Client ID-794 A-26 S-3 was put in queue number 3
Chosen queue 4
Client ID-836 A-26 S-8 was put in queue number 4
Chosen queue 5
Client ID-945 A-26 S-5 was put in queue number 5
Task taken: ID-816 A-12 S-9
Task sleeping: ID-685 A-15 S-4

Time: 30
Chosen queue 10
Client ID-155 A-27 S-8 was put in queue number 10
Chosen queue 6
Client ID-176 A-27 S-6 was put in queue number 6
Chosen queue 7
Client ID-194 A-27 S-6 was put in queue number 7
Chosen queue 8
Client ID-278 A-27 S-11 was put in queue number 8
Chosen queue 9
Client ID-346 A-27 S-7 was put in queue number 9
Chosen queue 10
Client ID-365 A-27 S-9 was put in queue number 10
Chosen queue 11
Client ID-382 A-27 S-8 was put in queue number 11
Chosen queue 12
Client ID-524 A-27 S-6 was put in queue number 12
Chosen queue 13
Client ID-603 A-27 S-4 was put in queue number 13
Chosen queue 14
Client ID-932 A-27 S-9 was put in queue number 14
Task taken: ID-584 A-13 S-7
Task sleeping: ID-710 A-17 S-9
Task taken: ID-261 A-14 S-10
Task sleeping: ID-48 A-15 S-8

Time: 31
Chosen queue 17
Client ID-72 A-28 S-6 was put in queue number 17
Chosen queue 2
Client ID-80 A-28 S-5 was put in queue number 2
Chosen queue 15
Client ID-169 A-28 S-6 was put in queue number 15
Chosen queue 16
Client ID-211 A-28 S-5 was put in queue number 16
Chosen queue 17
Client ID-250 A-28 S-6 was put in queue number 17
Chosen queue 18
Client ID-356 A-28 S-10 was put in queue number 18
Chosen queue 19
Client ID-397 A-28 S-3 was put in queue number 19
Chosen queue 0
Client ID-507 A-28 S-11 was put in queue number 0
Chosen queue 1
Client ID-640 A-28 S-10 was put in queue number 1
Chosen queue 2
Client ID-653 A-28 S-5 was put in queue number 2
Chosen queue 3
Client ID-829 A-28 S-4 was put in queue number 3
Chosen queue 4
Client ID-993 A-28 S-3 was put in queue number 4
Task taken: ID-133 A-16 S-5
Task sleeping: ID-547 A-16 S-8
Task taken: ID-111 A-17 S-6
Task sleeping: ID-340 A-17 S-7
Task taken: ID-127 A-18 S-4
Task sleeping: ID-759 A-21 S-10
Task taken: ID-118 A-15 S-4
Task sleeping: ID-561 A-18 S-7
Task taken: ID-599 A-14 S-8
Task sleeping: ID-686 A-18 S-8

Time: 32
Chosen queue 5
Client ID-391 A-29 S-7 was put in queue number 5
Chosen queue 12
Client ID-452 A-29 S-6 was put in queue number 12
Chosen queue 15
Client ID-580 A-29 S-7 was put in queue number 15
Chosen queue 18
Client ID-814 A-29 S-4 was put in queue number 18
Task taken: ID-411 A-12 S-11
Task sleeping: ID-262 A-15 S-10
Task taken: ID-220 A-14 S-9
Task sleeping: ID-231 A-18 S-4
Task taken: ID-979 A-15 S-4
Task sleeping: ID-57 A-20 S-9
Task taken: ID-105 A-13 S-9
Task sleeping: ID-690 A-16 S-5
Task taken: ID-142 A-17 S-10
Task sleeping: ID-392 A-17 S-7

Time: 33
Chosen queue 8
Client ID-40 A-30 S-10 was put in queue number 8
Chosen queue 11
Client ID-436 A-30 S-11 was put in queue number 11
Chosen queue 13
Client ID-487 A-30 S-5 was put in queue number 13
Chosen queue 16
Client ID-650 A-30 S-4 was put in queue number 16
Chosen queue 0
Client ID-813 A-30 S-3 was put in queue number 0
Chosen queue 4
Client ID-891 A-30 S-4 was put in queue number 4
Task taken: ID-269 A-15 S-6
Task sleeping: ID-934 A-19 S-6
Task taken: ID-685 A-15 S-4
Task sleeping: ID-39 A-19 S-7

Time: 34
Chosen queue 9
Client ID-25 A-31 S-3 was put in queue number 9
Chosen queue 10
Client ID-320 A-31 S-5 was put in queue number 10
Chosen queue 5
Client ID-501 A-31 S-11 was put in queue number 5
Chosen queue 6
Client ID-881 A-31 S-8 was put in queue number 6
Chosen queue 7
Client ID-918 A-31 S-4 was put in queue number 7
Chosen queue 8
Client ID-926 A-31 S-9 was put in queue number 8
Chosen queue 9
Client ID-950 A-31 S-11 was put in queue number 9
Task taken: ID-334 A-14 S-7
Task sleeping: ID-143 A-17 S-8
Task taken: ID-976 A-13 S-7
Task sleeping: ID-502 A-16 S-10

Time: 35
Chosen queue 1
Client ID-248 A-32 S-6 was put in queue number 1
Chosen queue 3
Client ID-271 A-32 S-11 was put in queue number 3
Chosen queue 10
Client ID-276 A-32 S-4 was put in queue number 10
Chosen queue 11
Client ID-333 A-32 S-10 was put in queue number 11
Chosen queue 12
Client ID-450 A-32 S-6 was put in queue number 12
Chosen queue 13
Client ID-669 A-32 S-9 was put in queue number 13
Chosen queue 14
Client ID-818 A-32 S-9 was put in queue number 14
Chosen queue 15
Client ID-968 A-32 S-7 was put in queue number 15
Chosen queue 16
Client ID-990 A-32 S-7 was put in queue number 16
Chosen queue 17
Client ID-998 A-32 S-11 was put in queue number 17
Task taken: ID-953 A-14 S-11
Task sleeping: ID-16 A-18 S-11

Time: 36
Chosen queue 7
Client ID-97 A-33 S-6 was put in queue number 7
Chosen queue 18
Task taken: ID-231 A-18 S-4
Task sleeping: ID-119 A-19 S-3
Client ID-498 A-33 S-4 was put in queue number 18
Chosen queue 0
Client ID-661 A-33 S-9 was put in queue number 0
Chosen queue 19
Client ID-673 A-33 S-6 was put in queue number 19
Chosen queue 0
Client ID-753 A-33 S-3 was put in queue number 0
Chosen queue 1
Client ID-783 A-33 S-4 was put in queue number 1
Chosen queue 2
Client ID-955 A-33 S-4 was put in queue number 2
Task taken: ID-876 A-16 S-8
Task sleeping: ID-23 A-18 S-4
Task taken: ID-989 A-17 S-8
Task sleeping: ID-69 A-19 S-4

Time: 37
Chosen queue 14
Client ID-252 A-34 S-7 was put in queue number 14
Chosen queue 19
Client ID-264 A-34 S-4 was put in queue number 19
Chosen queue 3
Client ID-389 A-34 S-5 was put in queue number 3
Chosen queue 4
Client ID-527 A-34 S-7 was put in queue number 4
Task taken: ID-690 A-16 S-5
Task sleeping: ID-728 A-20 S-4

Time: 38
Chosen queue 13
Client ID-168 A-35 S-10 was put in queue number 13
Chosen queue 5
Client ID-319 A-35 S-9 was put in queue number 5
Chosen queue 6
Client ID-550 A-35 S-8 was put in queue number 6
Chosen queue 7
Client ID-559 A-35 S-10 was put in queue number 7
Chosen queue 8
Client ID-593 A-35 S-3 was put in queue number 8
Chosen queue 9
Client ID-697 A-35 S-9 was put in queue number 9
Chosen queue 10
Client ID-714 A-35 S-4 was put in queue number 10
Chosen queue 11
Client ID-726 A-35 S-10 was put in queue number 11
Chosen queue 12
Client ID-767 A-35 S-8 was put in queue number 12
Chosen queue 13
Client ID-854 A-35 S-7 was put in queue number 13
Chosen queue 14
Client ID-893 A-35 S-3 was put in queue number 14
Task taken: ID-340 A-17 S-7
Task sleeping: ID-429 A-21 S-3
Task taken: ID-48 A-15 S-8
Task sleeping: ID-351 A-18 S-3
Task taken: ID-561 A-18 S-7
Task sleeping: ID-28 A-22 S-8
Task taken: ID-698 A-18 S-11
Task sleeping: ID-297 A-20 S-4
Task taken: ID-119 A-19 S-3
Task sleeping: ID-154 A-21 S-4
Task taken: ID-934 A-19 S-6
Task sleeping: ID-421 A-21 S-5

Time: 39
Chosen queue 15
Client ID-161 A-36 S-3 was put in queue number 15
Task taken: ID-547 A-16 S-8
Task sleeping: ID-548 A-20 S-8
Chosen queue 0
Client ID-166 A-36 S-10 was put in queue number 0
Chosen queue 2
Client ID-239 A-36 S-4 was put in queue number 2
Chosen queue 4
Client ID-279 A-36 S-9 was put in queue number 4
Chosen queue 6
Client ID-560 A-36 S-7 was put in queue number 6
Chosen queue 9
Client ID-606 A-36 S-5 was put in queue number 9
Chosen queue 12
Client ID-694 A-36 S-5 was put in queue number 12
Chosen queue 15
Client ID-812 A-36 S-9 was put in queue number 15
Task taken: ID-710 A-17 S-9
Task sleeping: ID-654 A-21 S-9
Task taken: ID-392 A-17 S-7
Task sleeping: ID-64 A-21 S-6
Chosen queue 16
Client ID-883 A-36 S-8 was put in queue number 16
Chosen queue 17
Client ID-903 A-36 S-4 was put in queue number 17
Task taken: ID-686 A-18 S-8
Task sleeping: ID-732 A-19 S-4
Task taken: ID-39 A-19 S-7
Task sleeping: ID-338 A-20 S-3
Task taken: ID-23 A-18 S-4
Task sleeping: ID-778 A-20 S-7

Time: 40
Chosen queue 5
Client ID-53 A-37 S-7 was put in queue number 5
Chosen queue 10
Client ID-150 A-37 S-3 was put in queue number 10
Chosen queue 14
Client ID-265 A-37 S-3 was put in queue number 14
Chosen queue 16
Client ID-283 A-37 S-5 was put in queue number 16
Chosen queue 17
Client ID-401 A-37 S-4 was put in queue number 17
Chosen queue 18
Client ID-410 A-37 S-8 was put in queue number 18
Chosen queue 19
Task taken: ID-69 A-19 S-4
Task sleeping: ID-810 A-21 S-9
Client ID-503 A-37 S-4 was put in queue number 19
Chosen queue 19
Client ID-610 A-37 S-11 was put in queue number 19
Chosen queue 0
Client ID-768 A-37 S-6 was put in queue number 0
Chosen queue 1
Client ID-801 A-37 S-5 was put in queue number 1
Chosen queue 2
Client ID-877 A-37 S-6 was put in queue number 2
Task taken: ID-57 A-20 S-9
Task sleeping: ID-453 A-20 S-5
Task taken: ID-728 A-20 S-4
Task sleeping: ID-117 A-22 S-3
Task taken: ID-429 A-21 S-3
Task sleeping: ID-343 A-23 S-11
Task taken: ID-759 A-21 S-10
Task sleeping: ID-486 A-22 S-3

Time: 42
Chosen queue 11
Client ID-17 A-38 S-3 was put in queue number 11
Chosen queue 13
Client ID-24 A-38 S-7 was put in queue number 13
Chosen queue 15
Client ID-124 A-38 S-10 was put in queue number 15
Chosen queue 18
Client ID-373 A-38 S-4 was put in queue number 18
Chosen queue 3
Client ID-595 A-38 S-8 was put in queue number 3
Chosen queue 4
Client ID-617 A-38 S-6 was put in queue number 4
Chosen queue 5
Client ID-674 A-38 S-9 was put in queue number 5
Chosen queue 6
Client ID-780 A-38 S-5 was put in queue number 6
Chosen queue 7
Client ID-834 A-38 S-8 was put in queue number 7
Chosen queue 8
Client ID-897 A-38 S-5 was put in queue number 8
Task taken: ID-351 A-18 S-3
Task sleeping: ID-238 A-19 S-6
Task taken: ID-262 A-15 S-10
Task sleeping: ID-868 A-18 S-3
Task taken: ID-143 A-17 S-8
Task sleeping: ID-416 A-18 S-10

Time: 43
Chosen queue 2
Client ID-41 A-39 S-3 was put in queue number 2
Chosen queue 3
Client ID-116 A-39 S-11 was put in queue number 3
Chosen queue 8
Client ID-274 A-39 S-8 was put in queue number 8
Chosen queue 9
Client ID-398 A-39 S-4 was put in queue number 9
Chosen queue 10
Client ID-539 A-39 S-7 was put in queue number 10
Chosen queue 11
Client ID-570 A-39 S-8 was put in queue number 11
Chosen queue 12
Client ID-585 A-39 S-3 was put in queue number 12
Chosen queue 13
Client ID-596 A-39 S-11 was put in queue number 13
Chosen queue 14
Client ID-623 A-39 S-6 was put in queue number 14
Chosen queue 15
Client ID-644 A-39 S-8 was put in queue number 15
Chosen queue 16
Client ID-681 A-39 S-6 was put in queue number 16
Chosen queue 17
Client ID-688 A-39 S-10 was put in queue number 17
Chosen queue 18
Client ID-725 A-39 S-5 was put in queue number 18
Chosen queue 19
Client ID-788 A-39 S-8 was put in queue number 19
Task taken: ID-297 A-20 S-4
Task sleeping: ID-760 A-22 S-8
Task taken: ID-154 A-21 S-4
Task sleeping: ID-971 A-21 S-11
Task taken: ID-338 A-20 S-3
Task sleeping: ID-557 A-23 S-8

Time: 44
Chosen queue 0
Client ID-29 A-40 S-5 was put in queue number 0
Chosen queue 6
Task taken: ID-732 A-19 S-4
Client ID-59 A-40 S-8 was put in queue number 6
Task sleeping: ID-94 A-22 S-6
Chosen queue 5
Client ID-112 A-40 S-4 was put in queue number 5
Chosen queue 10
Client ID-138 A-40 S-4 was put in queue number 10
Chosen queue 0
Client ID-277 A-40 S-8 was put in queue number 0
Chosen queue 1
Client ID-402 A-40 S-6 was put in queue number 1
Chosen queue 2
Client ID-577 A-40 S-10 was put in queue number 2
Chosen queue 3
Client ID-637 A-40 S-3 was put in queue number 3
Chosen queue 4
Client ID-740 A-40 S-11 was put in queue number 4
Chosen queue 5
Client ID-770 A-40 S-4 was put in queue number 5
Chosen queue 6
Client ID-793 A-40 S-9 was put in queue number 6
Chosen queue 7
Client ID-803 A-40 S-9 was put in queue number 7
Task taken: ID-421 A-21 S-5
Task sleeping: ID-474 A-23 S-4
Task taken: ID-117 A-22 S-3
Task sleeping: ID-850 A-24 S-8
Task taken: ID-486 A-22 S-3
Task sleeping: ID-132 A-25 S-3
Task taken: ID-502 A-16 S-10
Task sleeping: ID-325 A-18 S-4

Time: 45
Chosen queue 9
Client ID-90 A-41 S-5 was put in queue number 9
Chosen queue 13
Client ID-229 A-41 S-7 was put in queue number 13
Chosen queue 18
Client ID-311 A-41 S-7 was put in queue number 18
Chosen queue 1
Client ID-359 A-41 S-4 was put in queue number 1
Chosen queue 8
Client ID-455 A-41 S-10 was put in queue number 8
Chosen queue 9
Client ID-460 A-41 S-6 was put in queue number 9
Chosen queue 10
Client ID-528 A-41 S-9 was put in queue number 10
Chosen queue 11
Client ID-684 A-41 S-4 was put in queue number 11
Chosen queue 12
Client ID-956 A-41 S-3 was put in queue number 12
Chosen queue 13
Client ID-975 A-41 S-4 was put in queue number 13
Task taken: ID-868 A-18 S-3
Task sleeping: ID-889 A-19 S-6
Task taken: ID-64 A-21 S-6
Task sleeping: ID-522 A-21 S-9

Time: 46
Chosen queue 16
Client ID-207 A-42 S-8 was put in queue number 16
Chosen queue 8
Client ID-234 A-42 S-11 was put in queue number 8
Chosen queue 14
Client ID-235 A-42 S-9 was put in queue number 14
Chosen queue 15
Client ID-446 A-42 S-7 was put in queue number 15
Chosen queue 16
Client ID-648 A-42 S-8 was put in queue number 16
Chosen queue 17
Client ID-662 A-42 S-11 was put in queue number 17
Chosen queue 18
Client ID-715 A-42 S-9 was put in queue number 18
Chosen queue 19
Client ID-830 A-42 S-5 was put in queue number 19
Chosen queue 0
Client ID-965 A-42 S-6 was put in queue number 0
Task taken: ID-453 A-20 S-5
Task sleeping: ID-696 A-24 S-10
Task taken: ID-28 A-22 S-8
Task sleeping: ID-642 A-22 S-7
Task taken: ID-16 A-18 S-11
Task sleeping: ID-817 A-18 S-11

Time: 47
Chosen queue 4
Client ID-190 A-43 S-8 was put in queue number 4
Chosen queue 7
Client ID-236 A-43 S-6 was put in queue number 7
Chosen queue 11
Client ID-312 A-43 S-11 was put in queue number 11
Chosen queue 1
Client ID-321 A-43 S-7 was put in queue number 1
Chosen queue 2
Client ID-344 A-43 S-4 was put in queue number 2
Chosen queue 3
Client ID-428 A-43 S-5 was put in queue number 3
Chosen queue 4
Client ID-456 A-43 S-10 was put in queue number 4
Chosen queue 5
Client ID-483 A-43 S-6 was put in queue number 5
Chosen queue 6
Client ID-496 A-43 S-11 was put in queue number 6
Chosen queue 7
Client ID-536 A-43 S-9 was put in queue number 7
Chosen queue 8
Client ID-574 A-43 S-7 was put in queue number 8
Chosen queue 9
Client ID-613 A-43 S-5 was put in queue number 9
Chosen queue 10
Client ID-738 A-43 S-11 was put in queue number 10
Chosen queue 11
Client ID-943 A-43 S-4 was put in queue number 11
Task taken: ID-548 A-20 S-8
Task sleeping: ID-362 A-24 S-4
Task taken: ID-778 A-20 S-7
Task sleeping: ID-886 A-24 S-7
Task taken: ID-132 A-25 S-3
Task sleeping: ID-757 A-25 S-10
Task taken: ID-238 A-19 S-6
Task sleeping: ID-565 A-22 S-7

Time: 48
Chosen queue 12
Client ID-50 A-44 S-6 was put in queue number 12
Chosen queue 14
Client ID-58 A-44 S-6 was put in queue number 14
Chosen queue 18
Client ID-459 A-44 S-7 was put in queue number 18
Chosen queue 2
Client ID-997 A-44 S-10 was put in queue number 2
Task taken: ID-474 A-23 S-4
Task sleeping: ID-181 A-25 S-5
